Index 84. Cross entropy, ground truth: 0.145737068355, predicted: 0.157781659812
Index 85. Cross entropy, ground truth: 0.0357491400093, predicted: 0.0684444501996
Index 86. Cross entropy, ground truth: 0.172452914715, predicted: 0.175745847821
Index 87. Cross entropy, ground truth: 0.111498690397, predicted: 0.064449499175
Index 88. Cross entropy, ground truth: 0.248177026212, predicted: 0.159537810832
Index 89. Cross entropy, ground truth: 0.0486428978853, predicted: 0.118557218276
Index 90. Cross entropy, ground truth: 0.438544949889, predicted: 0.215863975883
Index 91. Cross entropy, ground truth: 0.0778321631253, predicted: 0.127349163592
Index 92. Cross entropy, ground truth: 0.597621849179, predicted: 0.134758203477
Index 93. Cross entropy, ground truth: 0.0721121886745, predicted: 0.0870729852468
Index 94. Cross entropy, ground truth: 0.1690162763, predicted: 0.119110102206
Index 95. Cross entropy, ground truth: 0.0351049941033, predicted: 0.0841567594558
Index 96. Cross entropy, ground truth: 0.477072706819, predicted: 0.142169573158
Index 97. Cross entropy, ground truth: 0.234053845704, predicted: 0.144454687834
Index 98. Cross entropy, ground truth: 0.310471241176, predicted: 0.164706169814
Index 99. Cross entropy, ground truth: 0.0871603935957, predicted: 0.0612008487806
Average cross entropy, ground truth: 0.207125343935, predicted: 0.116072626475
