Extracting ./../../data/train-images-idx3-ubyte.gz
Extracting ./../../data/train-labels-idx1-ubyte.gz
Extracting ./../../data/t10k-images-idx3-ubyte.gz
Extracting ./../../data/t10k-labels-idx1-ubyte.gz
Epoch: 115, Train error: 0.05802, test error: 0.06440
Epoch: 116, Train error: 0.05720, test error: 0.06370
Epoch: 117, Train error: 0.05740, test error: 0.06310
Epoch: 118, Train error: 0.05702, test error: 0.06260
Epoch: 119, Train error: 0.05698, test error: 0.06430
Epoch: 120, Train error: 0.05675, test error: 0.06280
Epoch: 121, Train error: 0.05618, test error: 0.06360
Epoch: 122, Train error: 0.05715, test error: 0.06410
Epoch: 123, Train error: 0.05687, test error: 0.06340
Epoch: 124, Train error: 0.05604, test error: 0.06280
Epoch: 125, Train error: 0.05576, test error: 0.06290
Epoch: 126, Train error: 0.05596, test error: 0.06400
Epoch: 127, Train error: 0.05624, test error: 0.06330
Epoch: 128, Train error: 0.05651, test error: 0.06300
Epoch: 129, Train error: 0.05656, test error: 0.06390
Epoch: 130, Train error: 0.05598, test error: 0.06320
Epoch: 131, Train error: 0.05564, test error: 0.06310
Epoch: 132, Train error: 0.05527, test error: 0.06310
Epoch: 133, Train error: 0.05576, test error: 0.06320
Epoch: 134, Train error: 0.05525, test error: 0.06200
Epoch: 135, Train error: 0.05600, test error: 0.06310
Epoch: 136, Train error: 0.05602, test error: 0.06380
Epoch: 137, Train error: 0.05569, test error: 0.06450
Epoch: 138, Train error: 0.05567, test error: 0.06360
Epoch: 139, Train error: 0.05500, test error: 0.06260
Epoch: 140, Train error: 0.05525, test error: 0.06340
Epoch: 141, Train error: 0.05489, test error: 0.06350
Epoch: 142, Train error: 0.05447, test error: 0.06280
Epoch: 143, Train error: 0.05515, test error: 0.06400
Epoch: 144, Train error: 0.05535, test error: 0.06370
Epoch: 145, Train error: 0.05513, test error: 0.06320
Epoch: 146, Train error: 0.05471, test error: 0.06280
Epoch: 147, Train error: 0.05433, test error: 0.06230
Epoch: 148, Train error: 0.05453, test error: 0.06330
Epoch: 149, Train error: 0.05462, test error: 0.06220
Epoch: 150, Train error: 0.05431, test error: 0.06260
Epoch: 151, Train error: 0.05445, test error: 0.06320
Epoch: 152, Train error: 0.05440, test error: 0.06250
Epoch: 153, Train error: 0.05587, test error: 0.06500
Epoch: 154, Train error: 0.05469, test error: 0.06280
Epoch: 155, Train error: 0.05425, test error: 0.06370
Epoch: 156, Train error: 0.05391, test error: 0.06230
Epoch: 157, Train error: 0.05405, test error: 0.06330
Epoch: 158, Train error: 0.05422, test error: 0.06280
Epoch: 159, Train error: 0.05453, test error: 0.06450
Epoch: 160, Train error: 0.05411, test error: 0.06300
Epoch: 161, Train error: 0.05324, test error: 0.06360
Epoch: 162, Train error: 0.05369, test error: 0.06330
Epoch: 163, Train error: 0.05331, test error: 0.06170
Epoch: 164, Train error: 0.05349, test error: 0.06260
Epoch: 165, Train error: 0.05305, test error: 0.06170
Epoch: 166, Train error: 0.05344, test error: 0.06360
Epoch: 167, Train error: 0.05362, test error: 0.06320
Epoch: 168, Train error: 0.05382, test error: 0.06320
Epoch: 169, Train error: 0.05360, test error: 0.06260
Epoch: 170, Train error: 0.05296, test error: 0.06280
Epoch: 171, Train error: 0.05309, test error: 0.06270
Epoch: 172, Train error: 0.05349, test error: 0.06340
Epoch: 173, Train error: 0.05305, test error: 0.06270
Epoch: 174, Train error: 0.05295, test error: 0.06240
Epoch: 175, Train error: 0.05320, test error: 0.06300
Epoch: 176, Train error: 0.05291, test error: 0.06290
Epoch: 177, Train error: 0.05333, test error: 0.06250
Epoch: 178, Train error: 0.05264, test error: 0.06240
Epoch: 179, Train error: 0.05278, test error: 0.06280
Epoch: 180, Train error: 0.05264, test error: 0.06240
Epoch: 181, Train error: 0.05220, test error: 0.06180
Epoch: 182, Train error: 0.05298, test error: 0.06260
Epoch: 183, Train error: 0.05300, test error: 0.06280
Epoch: 184, Train error: 0.05224, test error: 0.06240
Epoch: 185, Train error: 0.05251, test error: 0.06240
Epoch: 186, Train error: 0.05271, test error: 0.06220
Epoch: 187, Train error: 0.05224, test error: 0.06270
Epoch: 188, Train error: 0.05284, test error: 0.06240
Epoch: 189, Train error: 0.05262, test error: 0.06190
Epoch: 190, Train error: 0.05204, test error: 0.06280
Epoch: 191, Train error: 0.05195, test error: 0.06240
Epoch: 192, Train error: 0.05220, test error: 0.06200
Epoch: 193, Train error: 0.05302, test error: 0.06240
Epoch: 194, Train error: 0.05205, test error: 0.06170
Epoch: 195, Train error: 0.05249, test error: 0.06250
Epoch: 196, Train error: 0.05213, test error: 0.06190
Epoch: 197, Train error: 0.05196, test error: 0.06320
Epoch: 198, Train error: 0.05153, test error: 0.06220
Epoch: 199, Train error: 0.05225, test error: 0.06320
Epoch: 200, Train error: 0.05200, test error: 0.06260
Epoch: 201, Train error: 0.05224, test error: 0.06270
Epoch: 202, Train error: 0.05182, test error: 0.06180
Epoch: 203, Train error: 0.05200, test error: 0.06280
Epoch: 204, Train error: 0.05195, test error: 0.06290
Epoch: 205, Train error: 0.05129, test error: 0.06210
Epoch: 206, Train error: 0.05138, test error: 0.06280
Epoch: 207, Train error: 0.05140, test error: 0.06140
Epoch: 208, Train error: 0.05155, test error: 0.06240
Epoch: 209, Train error: 0.05155, test error: 0.06140
Epoch: 210, Train error: 0.05158, test error: 0.06250
Epoch: 211, Train error: 0.05144, test error: 0.06330
Epoch: 212, Train error: 0.05118, test error: 0.06180
Epoch: 213, Train error: 0.05135, test error: 0.06280
Epoch: 214, Train error: 0.05140, test error: 0.06270
Epoch: 215, Train error: 0.05133, test error: 0.06240
Epoch: 216, Train error: 0.05085, test error: 0.06280
Epoch: 217, Train error: 0.05120, test error: 0.06170
Epoch: 218, Train error: 0.05147, test error: 0.06300
Epoch: 219, Train error: 0.05096, test error: 0.06190
Epoch: 220, Train error: 0.05131, test error: 0.06300
Epoch: 221, Train error: 0.05096, test error: 0.06300
Epoch: 222, Train error: 0.05075, test error: 0.06180
Epoch: 223, Train error: 0.05056, test error: 0.06250
Epoch: 224, Train error: 0.05096, test error: 0.06140
Epoch: 225, Train error: 0.05100, test error: 0.06250
Epoch: 226, Train error: 0.05113, test error: 0.06250
Epoch: 227, Train error: 0.05102, test error: 0.06290
Epoch: 228, Train error: 0.05071, test error: 0.06280
Epoch: 229, Train error: 0.05078, test error: 0.06170
Epoch: 230, Train error: 0.05131, test error: 0.06360
Epoch: 231, Train error: 0.05045, test error: 0.06190
Epoch: 232, Train error: 0.05065, test error: 0.06240
Epoch: 233, Train error: 0.05102, test error: 0.06330
Epoch: 234, Train error: 0.05073, test error: 0.06180
Epoch: 235, Train error: 0.05078, test error: 0.06110
Epoch: 236, Train error: 0.05031, test error: 0.06190
Epoch: 237, Train error: 0.05044, test error: 0.06180
Epoch: 238, Train error: 0.05109, test error: 0.06420
Epoch: 239, Train error: 0.05031, test error: 0.06270
Epoch: 240, Train error: 0.04993, test error: 0.06150
Epoch: 241, Train error: 0.04995, test error: 0.06150
Epoch: 242, Train error: 0.04996, test error: 0.06100
Epoch: 243, Train error: 0.05051, test error: 0.06260
Epoch: 244, Train error: 0.05045, test error: 0.06120
Epoch: 245, Train error: 0.05082, test error: 0.06250
Epoch: 246, Train error: 0.05065, test error: 0.06170
Epoch: 247, Train error: 0.05053, test error: 0.06190
Epoch: 248, Train error: 0.04995, test error: 0.06210
Epoch: 249, Train error: 0.04995, test error: 0.06130
Epoch: 250, Train error: 0.05033, test error: 0.06260
Epoch: 251, Train error: 0.05031, test error: 0.06140
Epoch: 252, Train error: 0.05064, test error: 0.06230
Epoch: 253, Train error: 0.05013, test error: 0.06240
Epoch: 254, Train error: 0.04991, test error: 0.06170
Epoch: 255, Train error: 0.05004, test error: 0.06170
Epoch: 256, Train error: 0.04998, test error: 0.06150
Epoch: 257, Train error: 0.05009, test error: 0.06200
Epoch: 258, Train error: 0.04976, test error: 0.06250
Epoch: 259, Train error: 0.04969, test error: 0.06100
Epoch: 260, Train error: 0.04982, test error: 0.06080
Epoch: 261, Train error: 0.04978, test error: 0.06110
Epoch: 262, Train error: 0.04982, test error: 0.06190
