Index 0. Cross entropy, ground truth: 0.206231273711, predicted: 0.1080703374
Index 1. Cross entropy, ground truth: 0.23448137641, predicted: 0.160800100118
Index 2. Cross entropy, ground truth: 0.274301806837, predicted: 0.109471991286
Index 3. Cross entropy, ground truth: 0.499096357822, predicted: 0.0728614386171
Index 4. Cross entropy, ground truth: 0.0488473970443, predicted: 0.0630466420203
Index 5. Cross entropy, ground truth: 0.0678761519492, predicted: 0.0883435919881
Index 6. Cross entropy, ground truth: 0.0437951575965, predicted: 0.0515868335962
Index 7. Cross entropy, ground truth: 0.115499668568, predicted: 0.178194974363
Index 8. Cross entropy, ground truth: 0.130874459445, predicted: 0.104649294168
Index 9. Cross entropy, ground truth: 0.0434321420267, predicted: 0.0527010459453
Index 10. Cross entropy, ground truth: 0.0491970058531, predicted: 0.0772691294551
Index 11. Cross entropy, ground truth: 0.114338748157, predicted: 0.138394379616
Index 12. Cross entropy, ground truth: 0.0773143917322, predicted: 0.0839486904442
Index 13. Cross entropy, ground truth: 0.843986386061, predicted: 0.0905773043633
Index 14. Cross entropy, ground truth: 0.237909330428, predicted: 0.154830782861
Index 15. Cross entropy, ground truth: 0.330516795814, predicted: 0.0759020581841
Index 16. Cross entropy, ground truth: 0.804797324538, predicted: 0.204068840295
Index 17. Cross entropy, ground truth: 0.102235198766, predicted: 0.0962906368077
Index 18. Cross entropy, ground truth: 0.41834064573, predicted: 0.221425412595
Index 19. Cross entropy, ground truth: 0.33696744144, predicted: 0.208330070227
Index 20. Cross entropy, ground truth: 0.10226328522, predicted: 0.106558396667
Index 21. Cross entropy, ground truth: 0.0516393622383, predicted: 0.115946963429
Index 22. Cross entropy, ground truth: 0.190193311125, predicted: 0.167163927853
Index 23. Cross entropy, ground truth: 0.163189974055, predicted: 0.200283176452
Index 24. Cross entropy, ground truth: 0.275835117698, predicted: 0.13614029102
Index 25. Cross entropy, ground truth: 0.037003108114, predicted: 0.087327671051
Index 26. Cross entropy, ground truth: 0.349606518447, predicted: 0.148136179149
Index 27. Cross entropy, ground truth: 0.274961318821, predicted: 0.150429450721
Index 28. Cross entropy, ground truth: 0.176405647397, predicted: 0.117030336708
Index 29. Cross entropy, ground truth: 0.301830165833, predicted: 0.147754101455
Index 30. Cross entropy, ground truth: 0.713871568441, predicted: 0.198692494631
Index 31. Cross entropy, ground truth: 0.342307420075, predicted: 0.268266993761
Index 32. Cross entropy, ground truth: 0.248639210314, predicted: 0.20098497048
Index 33. Cross entropy, ground truth: 0.0388699759729, predicted: 0.074662868306
Index 34. Cross entropy, ground truth: 0.0765216479078, predicted: 0.146741674468
Index 35. Cross entropy, ground truth: 0.0570672206581, predicted: 0.0840792454779
Index 36. Cross entropy, ground truth: 0.0419714674354, predicted: 0.0793893080205
Index 37. Cross entropy, ground truth: 0.207696478069, predicted: 0.187283721566
Index 38. Cross entropy, ground truth: 0.153645294905, predicted: 0.0969228066504
Index 39. Cross entropy, ground truth: 0.0422956578434, predicted: 0.0870119139552
Index 40. Cross entropy, ground truth: 0.331449019909, predicted: 0.170255221426
Index 41. Cross entropy, ground truth: 0.11599131003, predicted: 0.132354722545
Index 42. Cross entropy, ground truth: 0.22021035105, predicted: 0.16347964406
Index 43. Cross entropy, ground truth: 0.391561976075, predicted: 0.178552061319
Index 44. Cross entropy, ground truth: 0.193160806596, predicted: 0.138507962972
Index 45. Cross entropy, ground truth: 0.0680957362056, predicted: 0.11519883126
Index 46. Cross entropy, ground truth: 0.381050026417, predicted: 0.121011756733
Index 47. Cross entropy, ground truth: 0.125446159393, predicted: 0.0656950872391
Index 48. Cross entropy, ground truth: 0.0664291089401, predicted: 0.0687509093434
Index 49. Cross entropy, ground truth: 0.212193354219, predicted: 0.148293326795
Index 50. Cross entropy, ground truth: 0.06977356188, predicted: 0.116934788972
Index 51. Cross entropy, ground truth: 0.0849460676312, predicted: 0.0770890668035
Index 52. Cross entropy, ground truth: 0.607905109227, predicted: 0.266188048571
Index 53. Cross entropy, ground truth: 0.226274470985, predicted: 0.139111153036
Index 54. Cross entropy, ground truth: 0.0811046086252, predicted: 0.0654991839081
Index 55. Cross entropy, ground truth: 0.171030261368, predicted: 0.153198110312
Index 56. Cross entropy, ground truth: 0.0383511520922, predicted: 0.0568701345474
Index 57. Cross entropy, ground truth: 0.432868827879, predicted: 0.202927772701
Index 58. Cross entropy, ground truth: 0.0884605675936, predicted: 0.137733796984
Index 59. Cross entropy, ground truth: 0.0498759508133, predicted: 0.0902860701084
Index 60. Cross entropy, ground truth: 0.148873938993, predicted: 0.132103287801
Index 61. Cross entropy, ground truth: 0.0657171687111, predicted: 0.094371099025
Index 62. Cross entropy, ground truth: 0.0643484320492, predicted: 0.0971063409001
Index 63. Cross entropy, ground truth: 0.182376486063, predicted: 0.187942238897
Index 64. Cross entropy, ground truth: 0.239660596848, predicted: 0.140360950679
Index 65. Cross entropy, ground truth: 0.389371737838, predicted: 0.110218296945
Index 66. Cross entropy, ground truth: 0.0499883081764, predicted: 0.060903223604
Index 67. Cross entropy, ground truth: 0.0658637095243, predicted: 0.117739695683
Index 68. Cross entropy, ground truth: 0.0508766848594, predicted: 0.0545860633254
Index 69. Cross entropy, ground truth: 0.0239601451904, predicted: 0.0655195429921
Index 70. Cross entropy, ground truth: 0.483543178439, predicted: 0.138146067783
Index 71. Cross entropy, ground truth: 0.0900215029716, predicted: 0.0716260880232
Index 72. Cross entropy, ground truth: 0.438943919539, predicted: 0.169461472332
Index 73. Cross entropy, ground truth: 0.0878098167479, predicted: 0.0915017254651
Index 74. Cross entropy, ground truth: 0.457435122132, predicted: 0.246251285076
Index 75. Cross entropy, ground truth: 0.254423129559, predicted: 0.117207657918
Index 76. Cross entropy, ground truth: 0.428781835735, predicted: 0.174499285966
Index 77. Cross entropy, ground truth: 0.216203787923, predicted: 0.0458401016891
Index 78. Cross entropy, ground truth: 0.0783567752689, predicted: 0.0981886591762
Index 79. Cross entropy, ground truth: 0.0722149144858, predicted: 0.0670275770128
Index 80. Cross entropy, ground truth: 0.0577258113772, predicted: 0.0709004681557
Index 81. Cross entropy, ground truth: 0.0468827400357, predicted: 0.0547080751508
Index 82. Cross entropy, ground truth: 0.615687581897, predicted: 0.179550066963
Index 83. Cross entropy, ground truth: 0.364314612746, predicted: 0.106455742568
Index 84. Cross entropy, ground truth: 0.120331676304, predicted: 0.142549915612
Index 85. Cross entropy, ground truth: 0.0640429375693, predicted: 0.0915245708078
Index 86. Cross entropy, ground truth: 0.197125654668, predicted: 0.216043284535
Index 87. Cross entropy, ground truth: 0.212981019914, predicted: 0.119597479701
Index 88. Cross entropy, ground truth: 0.220969235897, predicted: 0.126617842168
Index 89. Cross entropy, ground truth: 0.0412914440036, predicted: 0.118954149634
Index 90. Cross entropy, ground truth: 0.249409815669, predicted: 0.154148408771
Index 91. Cross entropy, ground truth: 0.141361170262, predicted: 0.171395678073
Index 92. Cross entropy, ground truth: 0.392044836283, predicted: 0.217175476253
Index 93. Cross entropy, ground truth: 0.0678910497576, predicted: 0.107322737575
Index 94. Cross entropy, ground truth: 0.220376715064, predicted: 0.138123247027
Index 95. Cross entropy, ground truth: 0.0403193078935, predicted: 0.0679586224258
Index 96. Cross entropy, ground truth: 0.517406778038, predicted: 0.160590983182
Index 97. Cross entropy, ground truth: 0.239005574584, predicted: 0.117483762279
Index 98. Cross entropy, ground truth: 0.361590193212, predicted: 0.213154350221
Index 99. Cross entropy, ground truth: 0.0908834625036, predicted: 0.0736427444965
Average cross entropy, ground truth: 0.209324440462, predicted: 0.126780059617
