Index 85. Cross entropy, ground truth: 0.156173832715, predicted: 0.267338375747
Index 86. Cross entropy, ground truth: 0.257208070159, predicted: 0.255343160033
Index 87. Cross entropy, ground truth: 0.00851756613702, predicted: 0.00851756613702
Index 88. Cross entropy, ground truth: 0.457546755672, predicted: 0.344140137732
Index 89. Cross entropy, ground truth: 0.0320368014276, predicted: 0.0841342143714
Index 90. Cross entropy, ground truth: 0.0376696959138, predicted: 0.0376696959138
Index 91. Cross entropy, ground truth: 0.160546141863, predicted: 0.273333877325
Index 92. Cross entropy, ground truth: 0.674240669608, predicted: 0.327808876336
Index 93. Cross entropy, ground truth: 0.150222544372, predicted: 0.122080093622
Index 94. Cross entropy, ground truth: 0.150479780138, predicted: 0.224118687212
Index 95. Cross entropy, ground truth: 0.162571032345, predicted: 0.243079815805
Index 96. Cross entropy, ground truth: 0.855965179205, predicted: 0.26311955899
Index 97. Cross entropy, ground truth: 0.423803378642, predicted: 0.144244645536
Index 98. Cross entropy, ground truth: 0.412441653013, predicted: 0.331756700575
Index 99. Cross entropy, ground truth: 0.294614027441, predicted: 0.0818579159677
Average cross entropy, ground truth: 0.299429958377, predicted: 0.185969495072
