Index 0. Cross entropy, ground truth: 0.580158376694, predicted: 0.0953706279397
Index 1. Cross entropy, ground truth: 0.263492679596, predicted: 0.338809296489
Index 2. Cross entropy, ground truth: 1.12675149441, predicted: 0.331986002624
Index 3. Cross entropy, ground truth: 0.672713220119, predicted: 0.132185894251
Index 4. Cross entropy, ground truth: 0.234734049439, predicted: 0.260180522501
Index 5. Cross entropy, ground truth: 0.178520523012, predicted: 0.167352370173
Index 6. Cross entropy, ground truth: 0.0540127754211, predicted: 0.190215493739
Index 7. Cross entropy, ground truth: 0.34552193135, predicted: 0.346223844588
Index 8. Cross entropy, ground truth: 0.277166211605, predicted: 0.238125665486
Index 9. Cross entropy, ground truth: 0.0272096898407, predicted: 0.118427783996
Index 10. Cross entropy, ground truth: 0.271825098991, predicted: 0.235860993713
Index 11. Cross entropy, ground truth: 0.169374647737, predicted: 0.227673727274
Index 12. Cross entropy, ground truth: 0.211931344867, predicted: 0.067665810883
Index 13. Cross entropy, ground truth: 0.443191835284, predicted: 0.18850844875
Index 14. Cross entropy, ground truth: 0.587214648724, predicted: 0.265333521366
Index 15. Cross entropy, ground truth: 0.643396770954, predicted: 0.17693156302
Index 16. Cross entropy, ground truth: 1.34390720427, predicted: 0.352659446001
Index 17. Cross entropy, ground truth: 0.351970517635, predicted: 0.306539344788
Index 18. Cross entropy, ground truth: 0.448053875566, predicted: 0.328041471541
Index 19. Cross entropy, ground truth: 0.0597653277218, predicted: 0.109295231104
Index 20. Cross entropy, ground truth: 0.473389305174, predicted: 0.0771811008453
Index 21. Cross entropy, ground truth: 0.0324263025075, predicted: 0.0871858261526
Index 22. Cross entropy, ground truth: 0.102740381099, predicted: 0.187161044031
Index 23. Cross entropy, ground truth: 0.125578363985, predicted: 0.249080925062
Index 24. Cross entropy, ground truth: 0.162817540765, predicted: 0.220002657175
Index 25. Cross entropy, ground truth: 0.131584727764, predicted: 0.158153256029
Index 26. Cross entropy, ground truth: 1.44832141995, predicted: 0.399495963752
Index 27. Cross entropy, ground truth: 0.86202160418, predicted: 0.369806216657
Index 28. Cross entropy, ground truth: 0.463225287199, predicted: 0.335380905122
Index 29. Cross entropy, ground truth: 0.642135119438, predicted: 0.287920168042
Index 30. Cross entropy, ground truth: 0.664304614067, predicted: 0.169939188659
Index 31. Cross entropy, ground truth: 0.0525174818933, predicted: 0.144260782376
Index 32. Cross entropy, ground truth: 0.599224597216, predicted: 0.366763472557
Index 33. Cross entropy, ground truth: 0.104310512543, predicted: 0.172325533628
Index 34. Cross entropy, ground truth: 0.148389416933, predicted: 0.253354552388
Index 35. Cross entropy, ground truth: 0.216249194741, predicted: 0.224134784937
Index 36. Cross entropy, ground truth: 0.140260472894, predicted: 0.169362379611
Index 37. Cross entropy, ground truth: 0.359656222165, predicted: 0.300747619569
Index 38. Cross entropy, ground truth: 0.710614746809, predicted: 0.292462353408
Index 39. Cross entropy, ground truth: 0.0522897366434, predicted: 0.103099676222
Index 40. Cross entropy, ground truth: 0.023325654678, predicted: 0.0479276288301
Index 41. Cross entropy, ground truth: 0.307820408046, predicted: 0.266453694552
Index 42. Cross entropy, ground truth: 0.00382187590003, predicted: 0.00382187590003
Index 43. Cross entropy, ground truth: 0.503648535907, predicted: 0.339764155447
Index 44. Cross entropy, ground truth: 0.429525727034, predicted: 0.265908294916
Index 45. Cross entropy, ground truth: 0.143615822494, predicted: 0.160367750376
Index 46. Cross entropy, ground truth: 0.738224542141, predicted: 0.148331091553
Index 47. Cross entropy, ground truth: 0.76170258522, predicted: 0.23184671253
Index 48. Cross entropy, ground truth: 0.0733729757369, predicted: 0.119447124004
Index 49. Cross entropy, ground truth: 0.444196519256, predicted: 0.331417492032
Index 50. Cross entropy, ground truth: 0.252468490601, predicted: 0.316117167473
Index 51. Cross entropy, ground truth: 0.227590860426, predicted: 0.0855020232499
Index 52. Cross entropy, ground truth: 0.626667141169, predicted: 0.403269540519
Index 53. Cross entropy, ground truth: 0.198231449723, predicted: 0.0721727177501
Index 54. Cross entropy, ground truth: 0.109670584649, predicted: 0.205953679979
Index 55. Cross entropy, ground truth: 0.27679477036, predicted: 0.196058520675
Index 56. Cross entropy, ground truth: 0.161259831488, predicted: 0.108366037905
Index 57. Cross entropy, ground truth: 0.628112876415, predicted: 0.338577364385
Index 58. Cross entropy, ground truth: 0.188759206235, predicted: 0.194339621812
Index 59. Cross entropy, ground truth: 0.0853177912533, predicted: 0.182763768733
Index 60. Cross entropy, ground truth: 0.0453540399671, predicted: 0.0655547618866
Index 61. Cross entropy, ground truth: 0.164381283522, predicted: 0.137615540624
