Index 0. Cross entropy, ground truth: 0.00262688612565, predicted: 0.00262688612565
Index 1. Cross entropy, ground truth: 0.12011692673, predicted: 0.12011692673
Index 2. Cross entropy, ground truth: 0.00253354315646, predicted: 0.00253354315646
Index 3. Cross entropy, ground truth: 0.0208713952452, predicted: 0.0208713952452
Index 4. Cross entropy, ground truth: 0.00409726100042, predicted: 0.00409726100042
Index 5. Cross entropy, ground truth: 0.0202469658107, predicted: 0.409208044223
Index 6. Cross entropy, ground truth: 0.000729170977138, predicted: 0.000729170977138
Index 7. Cross entropy, ground truth: 0.0787733867764, predicted: 0.0787733867764
Index 8. Cross entropy, ground truth: 0.0147426305339, predicted: 0.0147426305339
Index 9. Cross entropy, ground truth: 0.0866788178682, predicted: 0.0866788178682
Index 10. Cross entropy, ground truth: 0.00399270979688, predicted: 0.00399270979688
Index 11. Cross entropy, ground truth: 0.000360017234925, predicted: 0.000360017234925
Index 12. Cross entropy, ground truth: 0.0200184769928, predicted: 0.0200184769928
Index 13. Cross entropy, ground truth: 0.000805941061117, predicted: 0.000805941061117
Index 14. Cross entropy, ground truth: 0.000256332830759, predicted: 0.000256332830759
Index 15. Cross entropy, ground truth: 0.00913181342185, predicted: 0.00913181342185
Index 16. Cross entropy, ground truth: 0.0205899495631, predicted: 0.0205899495631
Index 17. Cross entropy, ground truth: 0.000873410550412, predicted: 0.000873410550412
Index 18. Cross entropy, ground truth: 0.0156261119992, predicted: 0.430724906363
Index 19. Cross entropy, ground truth: 0.00247456575744, predicted: 0.00247456575744
Index 20. Cross entropy, ground truth: 0.0653123110533, predicted: 0.334886388481
Index 21. Cross entropy, ground truth: 0.00271378294565, predicted: 0.00271378294565
Index 22. Cross entropy, ground truth: 0.00103652535472, predicted: 0.00103652535472
Index 23. Cross entropy, ground truth: 0.00489860586822, predicted: 0.00489860586822
Index 24. Cross entropy, ground truth: 0.00215165666305, predicted: 0.00215165666305
Index 25. Cross entropy, ground truth: 0.0020210291259, predicted: 0.0020210291259
Index 26. Cross entropy, ground truth: 1.38421869278, predicted: 0.397959306836
Index 27. Cross entropy, ground truth: 0.784629523754, predicted: 0.679453921318
Index 28. Cross entropy, ground truth: 0.229066967964, predicted: 0.500471377373
Index 29. Cross entropy, ground truth: 0.00322760897689, predicted: 0.00322760897689
Index 30. Cross entropy, ground truth: 0.00247647799551, predicted: 0.00247647799551
Index 31. Cross entropy, ground truth: 0.00589963188395, predicted: 0.00589963188395
Index 32. Cross entropy, ground truth: 0.0399638935924, predicted: 0.0399638935924
Index 33. Cross entropy, ground truth: 0.000822942238301, predicted: 0.000822942238301
Index 34. Cross entropy, ground truth: 0.273477762938, predicted: 0.504814124107
Index 35. Cross entropy, ground truth: 0.00613259337842, predicted: 0.00613259337842
Index 36. Cross entropy, ground truth: 0.00296178553253, predicted: 0.00296178553253
Index 37. Cross entropy, ground truth: 0.142038136721, predicted: 0.330018165708
Index 38. Cross entropy, ground truth: 0.0117371147498, predicted: 0.0117371147498
