Index 0. Cross entropy, ground truth: 0.239039464295, predicted: 0.174689417332
Index 1. Cross entropy, ground truth: 0.293929588795, predicted: 0.176985753328
Index 2. Cross entropy, ground truth: 0.164147481322, predicted: 0.0600875187665
Index 3. Cross entropy, ground truth: 0.157510065287, predicted: 0.176500818878
Index 4. Cross entropy, ground truth: 0.0635629475117, predicted: 0.090689862892
Index 5. Cross entropy, ground truth: 0.168746308237, predicted: 0.10989664942
Index 6. Cross entropy, ground truth: 0.0261777129024, predicted: 0.0484262960032
Index 7. Cross entropy, ground truth: 0.165198856592, predicted: 0.151888877153
Index 8. Cross entropy, ground truth: 0.0856423985213, predicted: 0.131968495995
Index 9. Cross entropy, ground truth: 0.0276930240914, predicted: 0.045657357946
Index 10. Cross entropy, ground truth: 0.0883577257395, predicted: 0.106118150055
Index 11. Cross entropy, ground truth: 0.143060788885, predicted: 0.144415439665
Index 12. Cross entropy, ground truth: 0.117906685174, predicted: 0.0667289612815
Index 13. Cross entropy, ground truth: 0.565917989612, predicted: 0.112478478998
Index 14. Cross entropy, ground truth: 0.204701994359, predicted: 0.121206144243
Index 15. Cross entropy, ground truth: 0.131439307332, predicted: 0.126905164868
Index 16. Cross entropy, ground truth: 0.590866300464, predicted: 0.301039838791
Index 17. Cross entropy, ground truth: 0.114370645955, predicted: 0.103050460666
Index 18. Cross entropy, ground truth: 0.336111405492, predicted: 0.232175870985
Index 19. Cross entropy, ground truth: 0.305781210959, predicted: 0.125583732873
Index 20. Cross entropy, ground truth: 0.116499461234, predicted: 0.0544320575893
Index 21. Cross entropy, ground truth: 0.022905702889, predicted: 0.0385210748762
Index 22. Cross entropy, ground truth: 0.0917884998024, predicted: 0.102912049741
Index 23. Cross entropy, ground truth: 0.085751138255, predicted: 0.114891798049
Index 24. Cross entropy, ground truth: 0.117823316902, predicted: 0.0786615461111
Index 25. Cross entropy, ground truth: 0.0258468093351, predicted: 0.0383812140673
Index 26. Cross entropy, ground truth: 0.353170496225, predicted: 0.13433752805
Index 27. Cross entropy, ground truth: 0.295355696976, predicted: 0.130792589486
Index 28. Cross entropy, ground truth: 0.213291162252, predicted: 0.186649549007
Index 29. Cross entropy, ground truth: 0.234415706247, predicted: 0.127674556524
Index 30. Cross entropy, ground truth: 0.747066867352, predicted: 0.143560036644
Index 31. Cross entropy, ground truth: 0.31305705905, predicted: 0.221543299407
Index 32. Cross entropy, ground truth: 0.324830639362, predicted: 0.181511772424
Index 33. Cross entropy, ground truth: 0.0235524192452, predicted: 0.0460952699184
Index 34. Cross entropy, ground truth: 0.108381950855, predicted: 0.170876167715
Index 35. Cross entropy, ground truth: 0.0872382584959, predicted: 0.075410393998
Index 36. Cross entropy, ground truth: 0.0596200942993, predicted: 0.0811858892441
Index 37. Cross entropy, ground truth: 0.146940644085, predicted: 0.170859922469
Index 38. Cross entropy, ground truth: 0.161817312986, predicted: 0.0813679009676
Index 39. Cross entropy, ground truth: 0.0232555806637, predicted: 0.0647990636528
Index 40. Cross entropy, ground truth: 0.311087541282, predicted: 0.169072653726
Index 41. Cross entropy, ground truth: 0.188969029486, predicted: 0.230140727013
Index 42. Cross entropy, ground truth: 0.161610464007, predicted: 0.101252292842
Index 43. Cross entropy, ground truth: 0.244781811535, predicted: 0.187969358265
Index 44. Cross entropy, ground truth: 0.176224188507, predicted: 0.127757907659
Index 45. Cross entropy, ground truth: 0.0469098541886, predicted: 0.0779831632972
Index 46. Cross entropy, ground truth: 0.289965242147, predicted: 0.119836381823
Index 47. Cross entropy, ground truth: 0.207579742372, predicted: 0.114598973095
Index 48. Cross entropy, ground truth: 0.0336765674874, predicted: 0.0579305160791
Index 49. Cross entropy, ground truth: 0.126990515739, predicted: 0.12068400681
Index 50. Cross entropy, ground truth: 0.084523203969, predicted: 0.099244017154
Index 51. Cross entropy, ground truth: 0.0947377867997, predicted: 0.0637655101717
Index 52. Cross entropy, ground truth: 0.405683894455, predicted: 0.246657402813
Index 53. Cross entropy, ground truth: 0.197746242583, predicted: 0.142140732333
Index 54. Cross entropy, ground truth: 0.0583088323474, predicted: 0.0566039543599
Index 55. Cross entropy, ground truth: 0.135555373877, predicted: 0.124209906533
Index 56. Cross entropy, ground truth: 0.0342116635293, predicted: 0.0677327293903
Index 57. Cross entropy, ground truth: 0.396896572411, predicted: 0.226244305819
Index 58. Cross entropy, ground truth: 0.0989570956677, predicted: 0.134769452363
Index 59. Cross entropy, ground truth: 0.0284402342513, predicted: 0.0774658635259
Index 60. Cross entropy, ground truth: 0.191919581592, predicted: 0.141017329227
Index 61. Cross entropy, ground truth: 0.054760205932, predicted: 0.0958253458142
Index 62. Cross entropy, ground truth: 0.165789162368, predicted: 0.178851786628
Index 63. Cross entropy, ground truth: 0.158081359416, predicted: 0.132978544384
Index 64. Cross entropy, ground truth: 0.211228914559, predicted: 0.126709707081
Index 65. Cross entropy, ground truth: 0.376810061932, predicted: 0.166810154915
Index 66. Cross entropy, ground truth: 0.0559736689553, predicted: 0.0283488504589
Index 67. Cross entropy, ground truth: 0.0501860514283, predicted: 0.12428242676
Index 68. Cross entropy, ground truth: 0.0888281002641, predicted: 0.113716801815
Index 69. Cross entropy, ground truth: 0.00939811398275, predicted: 0.0493436787277
Index 70. Cross entropy, ground truth: 0.422713586688, predicted: 0.172784718126
Index 71. Cross entropy, ground truth: 0.121131121367, predicted: 0.0482527926564
Index 72. Cross entropy, ground truth: 0.36394712925, predicted: 0.217891892791
Index 73. Cross entropy, ground truth: 0.0999394692481, predicted: 0.087147911638
Index 74. Cross entropy, ground truth: 0.345380820334, predicted: 0.171925804019
Index 75. Cross entropy, ground truth: 0.227810049057, predicted: 0.142748759314
