Index 0. Cross entropy, ground truth: 0.00315465894528, predicted: 0.00315465894528
Index 1. Cross entropy, ground truth: 0.160774081945, predicted: 0.335403224826
Index 2. Cross entropy, ground truth: 0.016252508387, predicted: 0.016252508387
Index 3. Cross entropy, ground truth: 0.210763126612, predicted: 0.355741992593
Index 4. Cross entropy, ground truth: 0.00417159684002, predicted: 0.00417159684002
Index 5. Cross entropy, ground truth: 0.00928460992873, predicted: 0.00928460992873
Index 6. Cross entropy, ground truth: 0.000827356590889, predicted: 0.000827356590889
Index 7. Cross entropy, ground truth: 0.326245337725, predicted: 0.707266157866
Index 8. Cross entropy, ground truth: 0.0113128749654, predicted: 0.0113128749654
Index 9. Cross entropy, ground truth: 0.067847520113, predicted: 0.333485201001
Index 10. Cross entropy, ground truth: 0.00122950528748, predicted: 0.00122950528748
Index 11. Cross entropy, ground truth: 0.00119871192146, predicted: 0.00119871192146
Index 12. Cross entropy, ground truth: 0.00592913106084, predicted: 0.00592913106084
Index 13. Cross entropy, ground truth: 0.00433243671432, predicted: 0.00433243671432
Index 14. Cross entropy, ground truth: 0.000515713123605, predicted: 0.000515713123605
Index 15. Cross entropy, ground truth: 0.0121948393062, predicted: 0.0121948393062
Index 16. Cross entropy, ground truth: 0.0215711854398, predicted: 0.0215711854398
Index 17. Cross entropy, ground truth: 0.00316153513268, predicted: 0.00316153513268
Index 18. Cross entropy, ground truth: 0.00617967173457, predicted: 0.00617967173457
Index 19. Cross entropy, ground truth: 0.00525140343234, predicted: 0.00525140343234
Index 20. Cross entropy, ground truth: 0.029122101143, predicted: 0.381288254447
Index 21. Cross entropy, ground truth: 0.00564220827073, predicted: 0.00564220827073
Index 22. Cross entropy, ground truth: 0.0016265619779, predicted: 0.643674103229
Index 23. Cross entropy, ground truth: 0.00794050190598, predicted: 0.00794050190598
Index 24. Cross entropy, ground truth: 0.00772796198726, predicted: 0.00772796198726
Index 25. Cross entropy, ground truth: 0.00212370208465, predicted: 0.00212370208465
Index 26. Cross entropy, ground truth: 0.844442725182, predicted: 0.674834597111
Index 27. Cross entropy, ground truth: 0.96493768692, predicted: 0.576716518402
Index 28. Cross entropy, ground truth: 0.755439221859, predicted: 0.682881069183
Index 29. Cross entropy, ground truth: 0.00289495196193, predicted: 0.00289495196193
Index 30. Cross entropy, ground truth: 0.00751096336171, predicted: 0.00751096336171
Index 31. Cross entropy, ground truth: 0.0139652751386, predicted: 0.440384327993
Index 32. Cross entropy, ground truth: 0.0385495647788, predicted: 0.0385495647788
Index 33. Cross entropy, ground truth: 0.00136426719837, predicted: 0.00136426719837
Index 34. Cross entropy, ground truth: 0.252701699734, predicted: 0.751315796375
Index 35. Cross entropy, ground truth: 0.012648246251, predicted: 0.012648246251
Index 36. Cross entropy, ground truth: 0.00447378447279, predicted: 0.00447378447279
Index 37. Cross entropy, ground truth: 0.289194315672, predicted: 0.616967454553
Index 38. Cross entropy, ground truth: 0.0139584448189, predicted: 0.0139584448189
Index 39. Cross entropy, ground truth: 0.00426658894867, predicted: 0.00426658894867
Index 40. Cross entropy, ground truth: 0.0574493631721, predicted: 0.623047178984
Index 41. Cross entropy, ground truth: 0.103170417249, predicted: 0.547039288282
Index 42. Cross entropy, ground truth: 0.00378417805769, predicted: 0.00378417805769
Index 43. Cross entropy, ground truth: 0.0193167962134, predicted: 0.0193167962134
Index 44. Cross entropy, ground truth: 0.516496300697, predicted: 0.751305246353
Index 45. Cross entropy, ground truth: 0.00195324327797, predicted: 0.00195324327797
Index 46. Cross entropy, ground truth: 0.00309785734862, predicted: 0.00309785734862
Index 47. Cross entropy, ground truth: 1.54213488102, predicted: 0.631131657958
Index 48. Cross entropy, ground truth: 0.00182461203076, predicted: 0.00182461203076
Index 49. Cross entropy, ground truth: 0.155026555061, predicted: 0.333590996265
Index 50. Cross entropy, ground truth: 0.00575292715803, predicted: 0.00575292715803
Index 51. Cross entropy, ground truth: 0.00877668242902, predicted: 0.00877668242902
Index 52. Cross entropy, ground truth: 1.01580953598, predicted: 0.506210288405
Index 53. Cross entropy, ground truth: 0.00450551696122, predicted: 0.544525708444
Index 54. Cross entropy, ground truth: 0.0106269717216, predicted: 0.0106269717216
Index 55. Cross entropy, ground truth: 0.00545688485727, predicted: 0.00545688485727
Index 56. Cross entropy, ground truth: 0.00194052269217, predicted: 0.00194052269217
Index 57. Cross entropy, ground truth: 1.37620425224, predicted: 0.942149829865
Index 58. Cross entropy, ground truth: 0.0172248259187, predicted: 0.0172248259187
Index 59. Cross entropy, ground truth: 0.00378070794977, predicted: 0.00378070794977
Index 60. Cross entropy, ground truth: 0.0153917158023, predicted: 0.0153917158023
Index 61. Cross entropy, ground truth: 0.00217465404421, predicted: 0.00217465404421
Index 62. Cross entropy, ground truth: 0.0056232069619, predicted: 0.0056232069619
Index 63. Cross entropy, ground truth: 0.199820026755, predicted: 0.199820026755
Index 64. Cross entropy, ground truth: 0.00138306850567, predicted: 0.00138306850567
Index 65. Cross entropy, ground truth: 3.16832900047, predicted: 0.0429845862091
Index 66. Cross entropy, ground truth: 0.00158387620468, predicted: 0.00158387620468
Index 67. Cross entropy, ground truth: 0.0818361714482, predicted: 0.0818361714482
Index 68. Cross entropy, ground truth: 0.00343482824974, predicted: 0.00343482824974
Index 69. Cross entropy, ground truth: 0.0025481833145, predicted: 0.0025481833145
