Index 0. Cross entropy, ground truth: 0.00101540365722, predicted: 0.00101540365722
Index 1. Cross entropy, ground truth: 0.189257159829, predicted: 0.502962768078
Index 2. Cross entropy, ground truth: 0.00293763400987, predicted: 0.00293763400987
Index 3. Cross entropy, ground truth: 0.00938387960196, predicted: 0.00938387960196
Index 4. Cross entropy, ground truth: 0.00636254949495, predicted: 0.00636254949495
Index 5. Cross entropy, ground truth: 0.00263907737099, predicted: 0.00263907737099
Index 6. Cross entropy, ground truth: 0.00124615558889, predicted: 0.00124615558889
Index 7. Cross entropy, ground truth: 0.293921202421, predicted: 0.401309797168
Index 8. Cross entropy, ground truth: 0.00712783215567, predicted: 0.00712783215567
Index 9. Cross entropy, ground truth: 0.0943418294191, predicted: 0.325670690835
Index 10. Cross entropy, ground truth: 0.00188958249055, predicted: 0.00188958249055
Index 11. Cross entropy, ground truth: 0.00238386588171, predicted: 0.6061688405
Index 12. Cross entropy, ground truth: 0.0184691492468, predicted: 0.0184691492468
Index 13. Cross entropy, ground truth: 0.000973280868493, predicted: 0.000973280868493
Index 14. Cross entropy, ground truth: 0.000995595008135, predicted: 0.000995595008135
Index 15. Cross entropy, ground truth: 0.0278080757707, predicted: 0.0278080757707
Index 16. Cross entropy, ground truth: 0.204590350389, predicted: 0.649402412772
Index 17. Cross entropy, ground truth: 0.00195097376127, predicted: 0.00195097376127
Index 18. Cross entropy, ground truth: 0.0162169486284, predicted: 0.0162169486284
Index 19. Cross entropy, ground truth: 0.000829444499686, predicted: 0.000829444499686
Index 20. Cross entropy, ground truth: 0.0732541903853, predicted: 0.0732541903853
Index 21. Cross entropy, ground truth: 0.00567727489397, predicted: 0.00567727489397
Index 22. Cross entropy, ground truth: 0.000887728238013, predicted: 0.000887728238013
Index 23. Cross entropy, ground truth: 0.00252744811587, predicted: 0.00252744811587
Index 24. Cross entropy, ground truth: 0.00168739981018, predicted: 0.00168739981018
Index 25. Cross entropy, ground truth: 0.000606243731454, predicted: 0.000606243731454
Index 26. Cross entropy, ground truth: 1.02016496658, predicted: 0.561732244492
Index 27. Cross entropy, ground truth: 1.08752143383, predicted: 0.54634988308
Index 28. Cross entropy, ground truth: 0.614841163158, predicted: 0.68014870882
Index 29. Cross entropy, ground truth: 0.00104135833681, predicted: 0.00104135833681
Index 30. Cross entropy, ground truth: 0.00243847607635, predicted: 0.00243847607635
Index 31. Cross entropy, ground truth: 0.00660323863849, predicted: 0.00660323863849
Index 32. Cross entropy, ground truth: 0.00929134711623, predicted: 0.00929134711623
Index 33. Cross entropy, ground truth: 0.00126388040371, predicted: 0.00126388040371
Index 34. Cross entropy, ground truth: 0.280576586723, predicted: 0.506045055389
Index 35. Cross entropy, ground truth: 0.0122502893209, predicted: 0.0122502893209
Index 36. Cross entropy, ground truth: 0.00463563110679, predicted: 0.00463563110679
Index 37. Cross entropy, ground truth: 0.232093319297, predicted: 0.500558435917
Index 38. Cross entropy, ground truth: 0.00564400665462, predicted: 0.00564400665462
Index 39. Cross entropy, ground truth: 0.00493250833824, predicted: 0.00493250833824
Index 40. Cross entropy, ground truth: 0.0557549595833, predicted: 0.62751121521
