Index 0. Cross entropy, ground truth: 0.695938500762, predicted: 0.0987718164921
Index 1. Cross entropy, ground truth: 0.930032747984, predicted: 0.156595149636
Index 2. Cross entropy, ground truth: 0.785636627674, predicted: 0.111468192376
Index 3. Cross entropy, ground truth: 0.771302232146, predicted: 0.11468045935
Index 4. Cross entropy, ground truth: 0.439076600969, predicted: 0.0717369409278
Index 5. Cross entropy, ground truth: 1.02026672363, predicted: 0.0881584366783
Index 6. Cross entropy, ground truth: 0.451274140179, predicted: 0.0783707188442
Index 7. Cross entropy, ground truth: 0.830690670013, predicted: 0.0649573361501
Index 8. Cross entropy, ground truth: 0.728723046184, predicted: 0.120411107317
Index 9. Cross entropy, ground truth: 0.565782028437, predicted: 0.0768065715209
Index 10. Cross entropy, ground truth: 0.904897719622, predicted: 0.0767389964312
Index 11. Cross entropy, ground truth: 0.56964770034, predicted: 0.104419031739
Index 12. Cross entropy, ground truth: 1.31185016036, predicted: 0.0868898421526
Index 13. Cross entropy, ground truth: 1.30400829315, predicted: 0.130731489137
Index 14. Cross entropy, ground truth: 0.888248735666, predicted: 0.0701754048467
Index 15. Cross entropy, ground truth: 0.81534152329, predicted: 0.112926592305
Index 16. Cross entropy, ground truth: 1.23469139338, predicted: 0.152155030146
Index 17. Cross entropy, ground truth: 0.6054772228, predicted: 0.075142684672
Index 18. Cross entropy, ground truth: 0.420364236832, predicted: 0.083745053038
Index 19. Cross entropy, ground truth: 0.658058339357, predicted: 0.10163751021
Index 20. Cross entropy, ground truth: 0.71660053432, predicted: 0.0479808526114
Index 21. Cross entropy, ground truth: 0.723437140882, predicted: 0.091777549684
Index 22. Cross entropy, ground truth: 0.941100943089, predicted: 0.157701832056
Index 23. Cross entropy, ground truth: 1.01685138941, predicted: 0.0723921867087
Index 24. Cross entropy, ground truth: 0.876751536131, predicted: 0.0768166292459
Index 25. Cross entropy, ground truth: 0.53099065721, predicted: 0.0509503789246
Index 26. Cross entropy, ground truth: 0.783168339729, predicted: 0.124689522758
Index 27. Cross entropy, ground truth: 0.670059278607, predicted: 0.13072450161
Index 28. Cross entropy, ground truth: 0.783268719912, predicted: 0.0974103770219
Index 29. Cross entropy, ground truth: 0.604212763906, predicted: 0.0802591310814
Index 30. Cross entropy, ground truth: 0.83741838038, predicted: 0.128603308648
Index 31. Cross entropy, ground truth: 0.833073920012, predicted: 0.15852740407
Index 32. Cross entropy, ground truth: 0.721505373716, predicted: 0.0624385623261
Index 33. Cross entropy, ground truth: 0.645362898707, predicted: 0.0725614710711
Index 34. Cross entropy, ground truth: 0.443451702595, predicted: 0.0949513398111
Index 35. Cross entropy, ground truth: 0.722350347042, predicted: 0.10506426245
Index 36. Cross entropy, ground truth: 0.505324388295, predicted: 0.0750870006159
Index 37. Cross entropy, ground truth: 1.16484265327, predicted: 0.135487659648
Index 38. Cross entropy, ground truth: 0.981007239223, predicted: 0.0778120126575
Index 39. Cross entropy, ground truth: 0.73734459281, predicted: 0.108169936575
Index 40. Cross entropy, ground truth: 1.55013087988, predicted: 0.130559692532
Index 41. Cross entropy, ground truth: 0.814243632555, predicted: 0.121262553148
Index 42. Cross entropy, ground truth: 0.580400598049, predicted: 0.0789240956306
Index 43. Cross entropy, ground truth: 1.04558919519, predicted: 0.0982972312719
Index 44. Cross entropy, ground truth: 0.460535618663, predicted: 0.0986224502325
Index 45. Cross entropy, ground truth: 0.585916818678, predicted: 0.0794900633395
Index 46. Cross entropy, ground truth: 0.773380810022, predicted: 0.101498942077
Index 47. Cross entropy, ground truth: 2.21830683947, predicted: 0.0321000637021
Index 48. Cross entropy, ground truth: 0.490543927252, predicted: 0.0731428237632
Index 49. Cross entropy, ground truth: 0.683602249622, predicted: 0.106494708732
Index 50. Cross entropy, ground truth: 0.669938379526, predicted: 0.0390150045976
Index 51. Cross entropy, ground truth: 0.823625034094, predicted: 0.113076013327
Index 52. Cross entropy, ground truth: 0.728563836217, predicted: 0.042266689986
Index 53. Cross entropy, ground truth: 1.37964780927, predicted: 0.135811299831
Index 54. Cross entropy, ground truth: 0.590178602934, predicted: 0.0919285364449
Index 55. Cross entropy, ground truth: 0.692077168822, predicted: 0.139427805692
Index 56. Cross entropy, ground truth: 0.551538001001, predicted: 0.065409580525
Index 57. Cross entropy, ground truth: 0.855333167315, predicted: 0.0540637667291
Index 58. Cross entropy, ground truth: 0.679144364595, predicted: 0.10155402869
Index 59. Cross entropy, ground truth: 0.528950932622, predicted: 0.0844339404255
Index 60. Cross entropy, ground truth: 0.554536893964, predicted: 0.0805290560238
Index 61. Cross entropy, ground truth: 0.690503925085, predicted: 0.0748847935349
Index 62. Cross entropy, ground truth: 0.846341004968, predicted: 0.0966014809906
Index 63. Cross entropy, ground truth: 0.812503001094, predicted: 0.145761483163
Index 64. Cross entropy, ground truth: 0.73341371417, predicted: 0.0899793636054
Index 65. Cross entropy, ground truth: 1.41352891922, predicted: 0.089404945448
Index 66. Cross entropy, ground truth: 0.31910752207, predicted: 0.0667025180534
Index 67. Cross entropy, ground truth: 1.31443488002, predicted: 0.139381998032
Index 68. Cross entropy, ground truth: 0.88001690805, predicted: 0.092258983478
Index 69. Cross entropy, ground truth: 0.563997331262, predicted: 0.0823058761656
Index 70. Cross entropy, ground truth: 0.910228604078, predicted: 0.0979137245566
Index 71. Cross entropy, ground truth: 0.837629878521, predicted: 0.0969495664351
Index 72. Cross entropy, ground truth: 0.760756534338, predicted: 0.0658136652783
Index 73. Cross entropy, ground truth: 1.06813245416, predicted: 0.0666007561609
Index 74. Cross entropy, ground truth: 0.900347179174, predicted: 0.0685031491332
