Index 0. Cross entropy, ground truth: 0.368027474731, predicted: 0.0728780448437
Index 1. Cross entropy, ground truth: 0.689555379748, predicted: 0.103669565916
Index 2. Cross entropy, ground truth: 0.300527627766, predicted: 0.0380429452285
Index 3. Cross entropy, ground truth: 0.611938148737, predicted: 0.0818483427167
Index 4. Cross entropy, ground truth: 0.223390911147, predicted: 0.0463096471503
Index 5. Cross entropy, ground truth: 0.975520259142, predicted: 0.0928959935904
Index 6. Cross entropy, ground truth: 0.069019628875, predicted: 0.0247655429877
Index 7. Cross entropy, ground truth: 0.50758690387, predicted: 0.0705699209124
Index 8. Cross entropy, ground truth: 0.281733579189, predicted: 0.072008407861
Index 9. Cross entropy, ground truth: 0.354805709422, predicted: 0.0525529934093
Index 10. Cross entropy, ground truth: 0.473082441092, predicted: 0.0898327495903
Index 11. Cross entropy, ground truth: 0.283321069181, predicted: 0.0628603320569
Index 12. Cross entropy, ground truth: 0.627553793788, predicted: 0.0890584431589
Index 13. Cross entropy, ground truth: 0.964965985715, predicted: 0.0738730363548
Index 14. Cross entropy, ground truth: 0.552947732806, predicted: 0.0756690304726
Index 15. Cross entropy, ground truth: 0.582079339027, predicted: 0.075215113163
Index 16. Cross entropy, ground truth: 0.138051881641, predicted: 0.0665052585304
Index 17. Cross entropy, ground truth: 0.225457283482, predicted: 0.049751858227
Index 18. Cross entropy, ground truth: 0.179444478452, predicted: 0.0600330393761
Index 19. Cross entropy, ground truth: 0.713848441839, predicted: 0.0971877261996
Index 20. Cross entropy, ground truth: 0.371223667264, predicted: 0.0338359655812
Index 21. Cross entropy, ground truth: 0.770444968343, predicted: 0.0431027591228
Index 22. Cross entropy, ground truth: 0.638977055252, predicted: 0.0719263330102
Index 23. Cross entropy, ground truth: 0.434766881168, predicted: 0.0676883019507
Index 24. Cross entropy, ground truth: 0.46445395723, predicted: 0.0593725726008
Index 25. Cross entropy, ground truth: 0.22591544874, predicted: 0.0341585628688
Index 26. Cross entropy, ground truth: 0.4233668603, predicted: 0.058768787235
Index 27. Cross entropy, ground truth: 0.411032474041, predicted: 0.0898812405765
Index 28. Cross entropy, ground truth: 0.889106476307, predicted: 0.0530478645116
Index 29. Cross entropy, ground truth: 0.242648286372, predicted: 0.0562063561752
Index 30. Cross entropy, ground truth: 0.964949893951, predicted: 0.11061995402
Index 31. Cross entropy, ground truth: 0.503227174282, predicted: 0.100500697643
Index 32. Cross entropy, ground truth: 0.498779468238, predicted: 0.0670971293002
Index 33. Cross entropy, ground truth: 0.267077939212, predicted: 0.0526866188273
Index 34. Cross entropy, ground truth: 0.329177434742, predicted: 0.0572169875726
Index 35. Cross entropy, ground truth: 0.606490214914, predicted: 0.0655002240092
Index 36. Cross entropy, ground truth: 0.154797551595, predicted: 0.0305809089914
Index 37. Cross entropy, ground truth: 0.909268566966, predicted: 0.106981509179
Index 38. Cross entropy, ground truth: 0.279586609453, predicted: 0.057898542285
Index 39. Cross entropy, ground truth: 0.670486313105, predicted: 0.0830936275423
Index 40. Cross entropy, ground truth: 1.44248936474, predicted: 0.0867918219417
Index 41. Cross entropy, ground truth: 0.379060231149, predicted: 0.0900325596333
Index 42. Cross entropy, ground truth: 0.461524307728, predicted: 0.0596084939316
Index 43. Cross entropy, ground truth: 0.314975448698, predicted: 0.0666158035398
Index 44. Cross entropy, ground truth: 0.346547489613, predicted: 0.051099966839
Index 45. Cross entropy, ground truth: 0.69300108552, predicted: 0.046461455524
Index 46. Cross entropy, ground truth: 0.589589877427, predicted: 0.0549021879211
Index 47. Cross entropy, ground truth: 0.862092244625, predicted: 0.0936546161771
Index 48. Cross entropy, ground truth: 0.585605058074, predicted: 0.0396729649976
Index 49. Cross entropy, ground truth: 0.588701468706, predicted: 0.081037145108
Index 50. Cross entropy, ground truth: 0.596799084544, predicted: 0.0692712958902
Index 51. Cross entropy, ground truth: 0.394750800729, predicted: 0.0826664358377
Index 52. Cross entropy, ground truth: 0.6354447335, predicted: 0.0727198883891
Index 53. Cross entropy, ground truth: 1.22309412062, predicted: 0.0793651152402
Index 54. Cross entropy, ground truth: 0.513460937887, predicted: 0.0798335563391
Index 55. Cross entropy, ground truth: 0.191610412672, predicted: 0.0570078127086
Index 56. Cross entropy, ground truth: 0.463842528313, predicted: 0.0429358879104
Index 57. Cross entropy, ground truth: 0.423711311817, predicted: 0.0551232740283
Index 58. Cross entropy, ground truth: 0.196611294895, predicted: 0.0577195182443
Index 59. Cross entropy, ground truth: 0.236986604333, predicted: 0.0439202096313
Index 60. Cross entropy, ground truth: 0.49765823856, predicted: 0.0778539136052
Index 61. Cross entropy, ground truth: 0.391411545873, predicted: 0.0443001564592
Index 62. Cross entropy, ground truth: 0.811254146695, predicted: 0.0826072636992
Index 63. Cross entropy, ground truth: 0.363884855807, predicted: 0.0696119479835
Index 64. Cross entropy, ground truth: 0.681763783097, predicted: 0.0700646691024
Index 65. Cross entropy, ground truth: 1.68454053402, predicted: 0.0607165805995
Index 66. Cross entropy, ground truth: 0.116241043061, predicted: 0.0338409826159
Index 67. Cross entropy, ground truth: 1.40727798343, predicted: 0.0913776438683
Index 68. Cross entropy, ground truth: 0.534172409773, predicted: 0.0842235207558
Index 69. Cross entropy, ground truth: 0.180473148823, predicted: 0.0301272644661
Index 70. Cross entropy, ground truth: 0.834474536777, predicted: 0.0835648141801
Index 71. Cross entropy, ground truth: 0.228294494003, predicted: 0.0365527678281
Index 72. Cross entropy, ground truth: 0.502435700595, predicted: 0.0669506378472
Index 73. Cross entropy, ground truth: 0.352938957512, predicted: 0.0592152234167
Index 74. Cross entropy, ground truth: 0.335403840244, predicted: 0.0663042146713
Index 75. Cross entropy, ground truth: 0.373416505754, predicted: 0.0747447494417
Index 76. Cross entropy, ground truth: 0.409189295769, predicted: 0.066970545426
Index 77. Cross entropy, ground truth: 0.968905553222, predicted: 0.0994260199368
Index 78. Cross entropy, ground truth: 0.640398620814, predicted: 0.0611309882253
Index 79. Cross entropy, ground truth: 0.814079969376, predicted: 0.0567256446928
Index 80. Cross entropy, ground truth: 0.537300974876, predicted: 0.0557455055416
Index 81. Cross entropy, ground truth: 0.123912894167, predicted: 0.0315939776599
Index 82. Cross entropy, ground truth: 0.645559699833, predicted: 0.0588848460466
Index 83. Cross entropy, ground truth: 0.53478512466, predicted: 0.0697396919131
Index 84. Cross entropy, ground truth: 0.146222870052, predicted: 0.0631374917924
Index 85. Cross entropy, ground truth: 0.611300387979, predicted: 0.0814602646977
Index 86. Cross entropy, ground truth: 0.609264823794, predicted: 0.0767937343568
Index 87. Cross entropy, ground truth: 0.81737793982, predicted: 0.107212860137
Index 88. Cross entropy, ground truth: 0.76770196259, predicted: 0.0778911925852
Index 89. Cross entropy, ground truth: 0.42895148471, predicted: 0.0636066056788
Index 90. Cross entropy, ground truth: 1.36915817857, predicted: 0.0845221549273
Index 91. Cross entropy, ground truth: 0.271503650397, predicted: 0.0654311515391
Index 92. Cross entropy, ground truth: 0.250440037251, predicted: 0.0749293323606
Index 93. Cross entropy, ground truth: 0.855973404646, predicted: 0.0642082367092
Index 94. Cross entropy, ground truth: 0.948844140768, predicted: 0.0493561435491
Index 95. Cross entropy, ground truth: 0.280988476425, predicted: 0.041034646146
Index 96. Cross entropy, ground truth: 0.281328001618, predicted: 0.0439463108778
Index 97. Cross entropy, ground truth: 0.516269164532, predicted: 0.0909380830824
Index 98. Cross entropy, ground truth: 0.100249530002, predicted: 0.0475963912904
Index 99. Cross entropy, ground truth: 0.702727770805, predicted: 0.0527268908918
Average cross entropy, ground truth: 0.532466093974, predicted: 0.0662319800518
