Index 0. Cross entropy, ground truth: 0.62479557395, predicted: 0.0880573026836
Index 1. Cross entropy, ground truth: 0.794705027342, predicted: 0.0807105462998
Index 2. Cross entropy, ground truth: 0.488618135452, predicted: 0.0744072444737
Index 3. Cross entropy, ground truth: 0.623525720835, predicted: 0.0711922056973
Index 4. Cross entropy, ground truth: 0.387275725976, predicted: 0.0495008915663
Index 5. Cross entropy, ground truth: 0.989673906565, predicted: 0.0755152381957
Index 6. Cross entropy, ground truth: 0.236106107384, predicted: 0.0394145310856
Index 7. Cross entropy, ground truth: 0.595837704092, predicted: 0.0758259505033
Index 8. Cross entropy, ground truth: 0.625024679303, predicted: 0.0929090797901
Index 9. Cross entropy, ground truth: 0.469489133358, predicted: 0.0649735972285
Index 10. Cross entropy, ground truth: 0.512137141824, predicted: 0.0415100084618
Index 11. Cross entropy, ground truth: 0.385587699711, predicted: 0.05840299353
Index 12. Cross entropy, ground truth: 0.818430414796, predicted: 0.0689215116203
Index 13. Cross entropy, ground truth: 1.32444304824, predicted: 0.0905514266342
Index 14. Cross entropy, ground truth: 0.644700157642, predicted: 0.0923846390098
Index 15. Cross entropy, ground truth: 0.560810363293, predicted: 0.0834649030119
Index 16. Cross entropy, ground truth: 0.340439988673, predicted: 0.0689979787916
Index 17. Cross entropy, ground truth: 0.377873250842, predicted: 0.057732591033
Index 18. Cross entropy, ground truth: 0.479928779602, predicted: 0.0533411893994
Index 19. Cross entropy, ground truth: 0.697449624538, predicted: 0.0969314906746
Index 20. Cross entropy, ground truth: 0.478632327914, predicted: 0.0560820844024
Index 21. Cross entropy, ground truth: 0.922660237551, predicted: 0.0671456970274
Index 22. Cross entropy, ground truth: 0.645645436645, predicted: 0.0907918341458
Index 23. Cross entropy, ground truth: 0.777101814747, predicted: 0.102808905393
Index 24. Cross entropy, ground truth: 0.705253106356, predicted: 0.075232892856
Index 25. Cross entropy, ground truth: 0.264382563531, predicted: 0.0531087517738
Index 26. Cross entropy, ground truth: 0.474820996821, predicted: 0.0620893839747
Index 27. Cross entropy, ground truth: 0.512117800117, predicted: 0.0867900837213
Index 28. Cross entropy, ground truth: 0.713065132499, predicted: 0.0976940143853
Index 29. Cross entropy, ground truth: 0.242643497884, predicted: 0.0530573129654
Index 30. Cross entropy, ground truth: 0.748608702421, predicted: 0.0996994063258
Index 31. Cross entropy, ground truth: 0.371828769147, predicted: 0.108046727628
Index 32. Cross entropy, ground truth: 0.635748970509, predicted: 0.0718110829592
Index 33. Cross entropy, ground truth: 0.631270428747, predicted: 0.0843530442566
Index 34. Cross entropy, ground truth: 0.387007915974, predicted: 0.0679346861318
Index 35. Cross entropy, ground truth: 0.570570261776, predicted: 0.0948020290583
Index 36. Cross entropy, ground truth: 0.258254500106, predicted: 0.0488769859076
Index 37. Cross entropy, ground truth: 0.633264374733, predicted: 0.117327211797
Index 38. Cross entropy, ground truth: 0.350034983456, predicted: 0.0689368665218
Index 39. Cross entropy, ground truth: 0.626529212296, predicted: 0.0811013907194
Index 40. Cross entropy, ground truth: 1.38090744615, predicted: 0.107202129066
Index 41. Cross entropy, ground truth: 0.592945705354, predicted: 0.0653245236725
Index 42. Cross entropy, ground truth: 0.504464948177, predicted: 0.0810422226787
Index 43. Cross entropy, ground truth: 0.540089574456, predicted: 0.106753018126
Index 44. Cross entropy, ground truth: 0.444167174399, predicted: 0.0622087042779
Index 45. Cross entropy, ground truth: 0.512325771153, predicted: 0.0678750474006
