Index 0. Cross entropy, ground truth: 0.517148452997, predicted: 0.193842352927
Index 1. Cross entropy, ground truth: 0.116533922404, predicted: 0.268450908363
Index 2. Cross entropy, ground truth: 0.568330514431, predicted: 0.247836944461
Index 3. Cross entropy, ground truth: 1.37882815599, predicted: 0.0997757464647
Index 4. Cross entropy, ground truth: 0.171629314125, predicted: 0.169397269934
Index 5. Cross entropy, ground truth: 0.0764248359948, predicted: 0.148307670653
Index 6. Cross entropy, ground truth: 0.0400680720806, predicted: 0.0972802333534
Index 7. Cross entropy, ground truth: 0.195424471051, predicted: 0.25946931392
Index 8. Cross entropy, ground truth: 0.503147035837, predicted: 0.25769329071
Index 9. Cross entropy, ground truth: 0.00951306372881, predicted: 0.0360768322833
Index 10. Cross entropy, ground truth: 0.129945655167, predicted: 0.148364263028
Index 11. Cross entropy, ground truth: 0.195662996173, predicted: 0.219829599559
Index 12. Cross entropy, ground truth: 0.1511568496, predicted: 0.149170905352
Index 13. Cross entropy, ground truth: 0.333377878368, predicted: 0.178119666874
Index 14. Cross entropy, ground truth: 0.466141551733, predicted: 0.218474465609
Index 15. Cross entropy, ground truth: 0.808756881952, predicted: 0.171305534244
Index 16. Cross entropy, ground truth: 1.29079056382, predicted: 0.351211059093
Index 17. Cross entropy, ground truth: 0.29144461602, predicted: 0.24321692884
Index 18. Cross entropy, ground truth: 0.832720142603, predicted: 0.396762417257
Index 19. Cross entropy, ground truth: 0.0549305357039, predicted: 0.149496212602
Index 20. Cross entropy, ground truth: 0.232883609831, predicted: 0.143867898732
Index 21. Cross entropy, ground truth: 0.0802415827289, predicted: 0.213202787936
Index 22. Cross entropy, ground truth: 0.286888122559, predicted: 0.241256715357
Index 23. Cross entropy, ground truth: 0.10671184808, predicted: 0.2023374632
Index 24. Cross entropy, ground truth: 0.140993843973, predicted: 0.228982146084
Index 25. Cross entropy, ground truth: 0.0428729474545, predicted: 0.137798175216
Index 26. Cross entropy, ground truth: 1.22315009832, predicted: 0.39024220705
Index 27. Cross entropy, ground truth: 0.75596498847, predicted: 0.260288242996
Index 28. Cross entropy, ground truth: 0.476892471313, predicted: 0.171901495755
Index 29. Cross entropy, ground truth: 0.831000316143, predicted: 0.313085123897
Index 30. Cross entropy, ground truth: 0.702096192539, predicted: 0.366831629723
Index 31. Cross entropy, ground truth: 0.131689624488, predicted: 0.222800771892
Index 32. Cross entropy, ground truth: 0.431573483348, predicted: 0.356245979667
Index 33. Cross entropy, ground truth: 0.0256895970553, predicted: 0.0530105814338
Index 34. Cross entropy, ground truth: 0.155986467749, predicted: 0.256402427703
Index 35. Cross entropy, ground truth: 0.0832495555282, predicted: 0.113638280332
Index 36. Cross entropy, ground truth: 0.0780958151445, predicted: 0.164309025556
Index 37. Cross entropy, ground truth: 0.112745351344, predicted: 0.188191447407
Index 38. Cross entropy, ground truth: 0.401857572794, predicted: 0.273918764293
