Index 0. Cross entropy, ground truth: 0.270379415154, predicted: 0.140409433842
Index 1. Cross entropy, ground truth: 0.219349424541, predicted: 0.140891638398
Index 2. Cross entropy, ground truth: 0.345269612968, predicted: 0.0976483494043
Index 3. Cross entropy, ground truth: 0.278108172864, predicted: 0.107369085029
Index 4. Cross entropy, ground truth: 0.0842875529081, predicted: 0.119497214258
Index 5. Cross entropy, ground truth: 0.131223125011, predicted: 0.151273812354
Index 6. Cross entropy, ground truth: 0.0502659836784, predicted: 0.117804130167
Index 7. Cross entropy, ground truth: 0.196560441703, predicted: 0.117389700562
Index 8. Cross entropy, ground truth: 0.225171182305, predicted: 0.16244906038
Index 9. Cross entropy, ground truth: 0.0537997234613, predicted: 0.0944120414555
Index 10. Cross entropy, ground truth: 0.145074275881, predicted: 0.0909167485312
Index 11. Cross entropy, ground truth: 0.0859113991261, predicted: 0.156044216454
Index 12. Cross entropy, ground truth: 0.0822121992707, predicted: 0.0488981701434
Index 13. Cross entropy, ground truth: 0.801930400729, predicted: 0.172019160539
Index 14. Cross entropy, ground truth: 0.260841863602, predicted: 0.19256657511
Index 15. Cross entropy, ground truth: 0.277992083132, predicted: 0.073015762493
Index 16. Cross entropy, ground truth: 0.911447918415, predicted: 0.179131564498
Index 17. Cross entropy, ground truth: 0.158835880458, predicted: 0.107923524827
Index 18. Cross entropy, ground truth: 0.277607415617, predicted: 0.256871369481
Index 19. Cross entropy, ground truth: 0.241564533859, predicted: 0.173153563589
Index 20. Cross entropy, ground truth: 0.109209093265, predicted: 0.0622387606651
Index 21. Cross entropy, ground truth: 0.0506963150576, predicted: 0.0819516154006
Index 22. Cross entropy, ground truth: 0.159978705645, predicted: 0.15647547394
Index 23. Cross entropy, ground truth: 0.0959907360375, predicted: 0.14147066623
Index 24. Cross entropy, ground truth: 0.234403838217, predicted: 0.0828807279468
Index 25. Cross entropy, ground truth: 0.0701608084142, predicted: 0.0766744248569
Index 26. Cross entropy, ground truth: 0.415424256027, predicted: 0.162986052036
Index 27. Cross entropy, ground truth: 0.436280727386, predicted: 0.161581161618
Index 28. Cross entropy, ground truth: 0.214922730625, predicted: 0.156061903387
Index 29. Cross entropy, ground truth: 0.276599569619, predicted: 0.135041084886
Index 30. Cross entropy, ground truth: 0.697230032086, predicted: 0.173633229733
Index 31. Cross entropy, ground truth: 0.359485013783, predicted: 0.22165812403
Index 32. Cross entropy, ground truth: 0.366689391434, predicted: 0.196142826229
Index 33. Cross entropy, ground truth: 0.087673740834, predicted: 0.0587303668261
Index 34. Cross entropy, ground truth: 0.0960377693176, predicted: 0.22177624777
Index 35. Cross entropy, ground truth: 0.0995154734701, predicted: 0.0985248759389
Index 36. Cross entropy, ground truth: 0.0680989038199, predicted: 0.0992097776383
Index 37. Cross entropy, ground truth: 0.371983779967, predicted: 0.251563034207
Index 38. Cross entropy, ground truth: 0.331959846616, predicted: 0.0868957467377
Index 39. Cross entropy, ground truth: 0.0469999395311, predicted: 0.112369078398
Index 40. Cross entropy, ground truth: 0.333318501711, predicted: 0.123956652731
Index 41. Cross entropy, ground truth: 0.132476513088, predicted: 0.161145803332
Index 42. Cross entropy, ground truth: 0.279564688355, predicted: 0.208135885
