Index 0. Cross entropy, ground truth: 0.455005520582, predicted: 0.109739286453
Index 1. Cross entropy, ground truth: 0.315786956251, predicted: 0.402204692364
Index 2. Cross entropy, ground truth: 0.944245123863, predicted: 0.232560099661
Index 3. Cross entropy, ground truth: 0.132664394379, predicted: 0.0946865096688
Index 4. Cross entropy, ground truth: 0.126689995825, predicted: 0.15149981305
Index 5. Cross entropy, ground truth: 0.108417179435, predicted: 0.193819325417
Index 6. Cross entropy, ground truth: 0.028975122422, predicted: 0.10137209855
Index 7. Cross entropy, ground truth: 0.0846482805908, predicted: 0.121626256406
Index 8. Cross entropy, ground truth: 0.206271990389, predicted: 0.187212142348
Index 9. Cross entropy, ground truth: 0.0150449700654, predicted: 0.0613107405603
Index 10. Cross entropy, ground truth: 0.235603609681, predicted: 0.165463781357
Index 11. Cross entropy, ground truth: 0.310515078157, predicted: 0.259105113149
Index 12. Cross entropy, ground truth: 0.194900143147, predicted: 0.118317821622
Index 13. Cross entropy, ground truth: 0.664366540313, predicted: 0.130021646619
Index 14. Cross entropy, ground truth: 0.37055632621, predicted: 0.308593186736
Index 15. Cross entropy, ground truth: 0.414563128352, predicted: 0.229971332848
Index 16. Cross entropy, ground truth: 1.01317224503, predicted: 0.318364048004
Index 17. Cross entropy, ground truth: 0.381344394386, predicted: 0.258385249972
Index 18. Cross entropy, ground truth: 0.472525793314, predicted: 0.269017148018
Index 19. Cross entropy, ground truth: 0.0331401415169, predicted: 0.105481290817
Index 20. Cross entropy, ground truth: 0.308920454979, predicted: 0.15648688674
Index 21. Cross entropy, ground truth: 0.089910210669, predicted: 0.113533864915
Index 22. Cross entropy, ground truth: 0.135518735647, predicted: 0.0886679202318
Index 23. Cross entropy, ground truth: 0.060567798838, predicted: 0.206999339536
Index 24. Cross entropy, ground truth: 0.10367968455, predicted: 0.205028066039
Index 25. Cross entropy, ground truth: 0.0322379171848, predicted: 0.0760234192014
Index 26. Cross entropy, ground truth: 1.33337939382, predicted: 0.463066396117
Index 27. Cross entropy, ground truth: 0.967940229177, predicted: 0.262675349414
Index 28. Cross entropy, ground truth: 0.456023347378, predicted: 0.348273788393
Index 29. Cross entropy, ground truth: 1.09264936596, predicted: 0.202274952829
